,DB_Object_ID,Qualifier_Idx,GO_ID,GO_Idx
131,A0A1W2PR19,[0],['GO:0004364'],[1804]
132,A0A1W2PR48,[0],['GO:0003714'],[2539]
133,A0A1W2PR64,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
134,A0A1W2PR75,"[0, 0]","['GO:0017018', 'GO:0008420']","[3546, 4450]"
135,A0A1W2PR95,[0],['GO:0051721'],[760]
136,A0A1W2PRN6,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
137,A0A1W2PRP0,"[0, 0]","['GO:0000981', 'GO:0000978']","[483, 3124]"
138,A0A1W2PRV1,"[0, 1]","['GO:0046982', 'GO:0016251']","[1077, 577]"
139,A0A286YEU6,"[0, 0]","['GO:0004984', 'GO:0005549']","[2935, 2375]"
140,A0A286YF18,[0],['GO:0003674'],[4083]
141,A0A2R8Y2Y2,[0],['GO:0003674'],[4083]
142,A0A2R8Y422,"[0, 0, 0]","['GO:0031625', 'GO:0031386', 'GO:0003735']","[1806, 4294, 448]"
143,A0A2R8Y4L2,[0],['GO:0003730'],[3640]
144,A0A2R8Y4L6,"[0, 0, 0]","['GO:0004930', 'GO:0004984', 'GO:0005549']","[2695, 2935, 2375]"
145,A0A2R8Y4M4,"[0, 0]","['GO:0046872', 'GO:0061630']","[2153, 2379]"
146,A0A2R8Y5M8,[0],['GO:0016206'],[1376]
147,A0A2R8Y619,"[0, 0, 0]","['GO:0003677', 'GO:0030527', 'GO:0046982']","[3938, 4160, 1077]"
148,A0A2R8YED5,"[0, 0, 0]","['GO:0004930', 'GO:0005549', 'GO:0004984']","[2695, 2375, 2935]"
149,A0A2R8YEG4,[0],['GO:0004984'],[2935]
150,A0A2R8YEH3,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
151,A0A2R8YEV3,[0],['GO:0004984'],[2935]
152,A0A2R8YFR7,[0],['GO:0005085'],[4028]
153,A0A2Z4LIS9,"[0, 0]","['GO:0000981', 'GO:0000978']","[483, 3124]"
154,A0A3B3IRV3,[0],['GO:0003723'],[3583]
155,A0A3B3IS91,[0],['GO:0005515'],[1403]
156,A0A3B3IT33,"[0, 0]","['GO:0008270', 'GO:0061630']","[4136, 2379]"
157,A0A3B3IT45,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
158,A0A3B3IU46,[0],['GO:0003723'],[3583]
159,A0A3B3IU63,"[0, 0]","['GO:0030527', 'GO:0046982']","[4160, 1077]"
160,A0A455ZAR2,[0],['GO:0005515'],[1403]
161,A0A494C086,[0],['GO:0019901'],[1899]
162,A0A494C0Z2,[0],['GO:0019901'],[1899]
163,A0A494C191,[0],['GO:0019901'],[1899]
164,A0A494C1R9,"[0, 0]","['GO:0042393', 'GO:0003682']","[1752, 4368]"
165,A0A4W9AIG4,[0],['GO:0004984'],[2935]
166,A0A590UK10,[0],['GO:0005085'],[4028]
167,A0A5B6,[0],['GO:0042605'],[2831]
168,A0A5F9ZHS7,"[0, 0]","['GO:0003677', 'GO:0003700']","[3938, 1439]"
169,A0A7I2V3R4,"[0, 0]","['GO:0046872', 'GO:0061630']","[2153, 2379]"
170,A0A7L8Y648,[0],['GO:0005515'],[1403]
171,A0A7P0TAN4,"[0, 0, 0]","['GO:0046872', 'GO:0001228', 'GO:0000978']","[2153, 722, 3124]"
172,A0A7P0TBJ1,"[0, 0]","['GO:0005515', 'GO:0031625']","[1403, 1806]"
173,A0A804HLA8,[0],['GO:0031681'],[1927]
174,A0A8I5KQE6,"[0, 0, 0]","['GO:0003735', 'GO:0005055', 'GO:0043236']","[448, 10, 8]"
175,A0A8I5KTY6,[0],['GO:0046872'],[2153]
176,A0A8I5KW96,"[0, 0, 0, 0]","['GO:0004017', 'GO:0005524', 'GO:0005525', 'GO:0046899']","[1482, 2220, 2119, 471]"
177,A0A8Q3WKH5,"[0, 0, 0]","['GO:0003677', 'GO:0030527', 'GO:0046982']","[3938, 4160, 1077]"
178,A0AAG2SUK6,[0],['GO:0003735'],[448]
179,A0AAG2SWI5,[0],['GO:0004867'],[3872]
180,A0AAG2SWV4,[0],['GO:0005309'],[2490]
181,A0AAG2SXN7,[0],['GO:0004657'],[21]
182,A0AAG2TTP8,[0],['GO:0003735'],[448]
183,A0AAG2TU59,[0],['GO:0046872'],[2153]
184,A0AAG2TVC3,"[0, 0]","['GO:0003779', 'GO:0043014']","[1069, 3480]"
185,A0AAG2UWQ9,[0],['GO:0003676'],[1824]
186,A0AAG2UY17,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
187,A0AUZ9,[0],['GO:0035035'],[354]
188,A0AV02,"[0, 0]","['GO:0005515', 'GO:0015379']","[1403, 677]"
189,A0AV96,"[0, 0, 0, 0, 0, 0]","['GO:0003723', 'GO:0003730', 'GO:0005515', 'GO:0019899', 'GO:0140767', 'GO:0003729']","[3583, 3640, 1403, 266, 2974, 3466]"
190,A0AVF1,[0],['GO:0120170'],[1456]
191,A0AVI2,[0],['GO:0005509'],[3969]
192,A0AVI4,"[0, 0, 0]","['GO:0005515', 'GO:0046872', 'GO:0061630']","[1403, 2153, 2379]"
193,A0AVK6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","['GO:0000978', 'GO:0000981', 'GO:0000987', 'GO:0001217', 'GO:0001227', 'GO:0003700', 'GO:0005515', 'GO:0042802', 'GO:1990837']","[3124, 483, 2774, 2483, 864, 1439, 1403, 675, 2269]"
194,A0AVT1,"[0, 0, 0, 0, 0, 0]","['GO:0005515', 'GO:0005524', 'GO:0019780', 'GO:0004792', 'GO:0016779', 'GO:0004839']","[1403, 2220, 3421, 2584, 4589, 368]"
195,A0FGR8,"[0, 0, 0, 0, 0, 0, 0, 0]","['GO:0005509', 'GO:0005515', 'GO:0005544', 'GO:0008429', 'GO:0031210', 'GO:0035091', 'GO:0042802', 'GO:0045296']","[3969, 1403, 31, 546, 726, 2901, 675, 1182]"
196,A0FGR9,"[0, 0, 0, 0, 0, 0]","['GO:0005515', 'GO:0035091', 'GO:0005544', 'GO:0031210', 'GO:0005509', 'GO:0008429']","[1403, 2901, 31, 726, 3969, 546]"
197,A0JLT2,"[0, 0]","['GO:0003712', 'GO:0005515']","[3241, 1403]"
198,A0JNW5,"[0, 0, 0, 0]","['GO:0005515', 'GO:0042803', 'GO:0062069', 'GO:0120013']","[1403, 127, 3973, 1503]"
199,A0JP26,[0],['GO:0005515'],[1403]
200,A0M8Q6,[0],['GO:0003823'],[3754]
201,A0MZ66,"[0, 0, 0, 0, 0]","['GO:0005515', 'GO:0019894', 'GO:0042802', 'GO:0045296', 'GO:0051015']","[1403, 534, 675, 1182, 371]"
202,A0PG75,[0],['GO:0017128'],[3223]
203,A0PJE2,[0],['GO:0016491'],[1002]
204,A0PJK1,"[0, 0, 0, 0]","['GO:0015370', 'GO:0140929', 'GO:0140930', 'GO:0005412']","[41, 847, 4222, 251]"
205,A0PJW6,[0],['GO:0097177'],[4106]
206,A0PJW8,"[0, 0, 0, 0]","['GO:0005515', 'GO:0030371', 'GO:0031369', 'GO:0043022']","[1403, 1369, 1180, 3611]"
207,A0PJX0,"[0, 0, 0]","['GO:0000287', 'GO:0005509', 'GO:0005515']","[3003, 3969, 1403]"
208,A0PJX4,[0],['GO:0005515'],[1403]
209,A0PJY2,"[0, 0, 0, 0, 0]","['GO:0001227', 'GO:0005515', 'GO:0046872', 'GO:0003700', 'GO:0000978']","[864, 1403, 2153, 1439, 3124]"
210,A0PJZ3,"[0, 0]","['GO:0035252', 'GO:0140563']","[660, 1495]"
211,A0PK00,"[2, 0, 0]","['GO:0005216', 'GO:0003674', 'GO:0005515']","[3228, 4083, 1403]"
212,A0PK05,[0],['GO:0005515'],[1403]
213,A0PK11,[0],['GO:0005515'],[1403]
214,A1A4F0,"[0, 0]","['GO:0005515', 'GO:0015189']","[1403, 118]"
215,A1A4S6,"[0, 0]","['GO:0005096', 'GO:0005515']","[1536, 1403]"
216,A1A4Y4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['GO:0003924', 'GO:0003925', 'GO:0005515', 'GO:0005525', 'GO:0019901', 'GO:0030674', 'GO:0043539', 'GO:0050700', 'GO:0051434', 'GO:1901612']","[3233, 1304, 1403, 2119, 1899, 1420, 4563, 3265, 3673, 4590]"
217,A1A519,"[0, 0]","['GO:0003677', 'GO:0046872']","[3938, 2153]"
218,A1A580,[0],['GO:0005515'],[1403]
219,A1A5B4,"[2, 0, 0, 0, 0, 0, 0, 0]","['GO:0005229', 'GO:0005254', 'GO:0005262', 'GO:0005515', 'GO:0015267', 'GO:0017128', 'GO:0019869', 'GO:0046983']","[1295, 901, 3247, 1403, 309, 3223, 2563, 2349]"
220,A1A5C7,"[0, 0]","['GO:0005515', 'GO:0022857']","[1403, 1991]"
221,A1A5D9,"[0, 0]","['GO:0005515', 'GO:0031267']","[1403, 2950]"
222,A1E959,[0],['GO:0005515'],[1403]
223,A1IGU5,[0],['GO:0005085'],[4028]
224,A1KXE4,[0],['GO:0005515'],[1403]
225,A1KZ92,"[0, 0, 0, 0, 0]","['GO:0004519', 'GO:0004601', 'GO:0020037', 'GO:0046872', 'GO:0140825']","[1400, 3984, 305, 2153, 3242]"
226,A1L020,"[0, 0]","['GO:0003723', 'GO:0046872']","[3583, 2153]"
227,A1L0T0,"[0, 0, 0, 0, 0, 0]","['GO:0000287', 'GO:0005515', 'GO:0016829', 'GO:0030976', 'GO:0003984', 'GO:0050660']","[3003, 1403, 2017, 2099, 3239, 236]"
228,A1L162,[0],['GO:0005515'],[1403]
229,A1L167,"[0, 0, 0]","['GO:0005515', 'GO:0005524', 'GO:0061631']","[1403, 2220, 586]"
230,A1L168,[0],['GO:0005515'],[1403]
231,A1L170,[0],['GO:0005515'],[1403]
232,A1L188,[0],['GO:0005515'],[1403]
233,A1L190,[0],['GO:0005515'],[1403]
234,A1L390,"[0, 0, 0]","['GO:0003779', 'GO:0005085', 'GO:0031267']","[1069, 4028, 2950]"
235,A1L3X0,"[0, 0]","['GO:0005515', 'GO:0009922']","[1403, 13]"
236,A1L3X4,"[0, 0]","['GO:0005515', 'GO:0046872']","[1403, 2153]"
237,A1L429,[0],['GO:0005515'],[1403]
238,A1L453,[0],['GO:0004252'],[712]
239,A1L4H1,"[0, 0, 0, 0, 0]","['GO:0001968', 'GO:0005044', 'GO:0005515', 'GO:0043236', 'GO:0050840']","[2009, 2796, 1403, 8, 231]"
240,A1L4K1,[0],['GO:0005515'],[1403]
241,A1X283,"[0, 0, 0, 0, 0, 0]","['GO:0005515', 'GO:0010314', 'GO:0032266', 'GO:0042169', 'GO:0080025', 'GO:0016176']","[1403, 1060, 2632, 281, 2784, 3119]"
242,A1XBS5,"[0, 0]","['GO:0005515', 'GO:0005543']","[1403, 2803]"
243,A1YPR0,"[0, 0, 0, 0]","['GO:0003674', 'GO:0046872', 'GO:0000981', 'GO:0000978']","[4083, 2153, 483, 3124]"
244,A1Z1Q3,"[0, 0, 0]","['GO:0016798', 'GO:0019213', 'GO:0140293']","[124, 3770, 2310]"
245,A2A288,"[0, 0, 0, 0]","['GO:0005515', 'GO:0046872', 'GO:0003729', 'GO:0004521']","[1403, 2153, 3466, 553]"
246,A2A2V5,[0],['GO:0005515'],[1403]
247,A2A2Y4,"[0, 0]","['GO:0005515', 'GO:0008092']","[1403, 716]"
248,A2A3K4,"[0, 0]","['GO:0005515', 'GO:0004725']","[1403, 2419]"
249,A2A3N6,[0],['GO:0016308'],[86]
250,A2AJT9,"[0, 0]","['GO:0003677', 'GO:0003712']","[3938, 3241]"
251,A2CJ06,[0],['GO:0008270'],[4136]
252,A2IDD5,[0],['GO:0005515'],[1403]
253,A2PYH4,"[0, 0, 0, 0]","['GO:0003676', 'GO:0005524', 'GO:0016887', 'GO:0003678']","[1824, 2220, 3827, 1346]"
254,A2RRD8,"[0, 0, 0, 0]","['GO:0005515', 'GO:0046872', 'GO:0000981', 'GO:0000978']","[1403, 2153, 483, 3124]"
255,A2RRH5,[0],['GO:0005515'],[1403]
256,A2RRP1,"[0, 0]","['GO:0000149', 'GO:0005515']","[2321, 1403]"
257,A2RTX5,"[0, 0, 0, 0, 0]","['GO:0003674', 'GO:0004829', 'GO:0005515', 'GO:0005524', 'GO:0042802']","[4083, 3552, 1403, 2220, 675]"
258,A2RTY3,[0],['GO:0005515'],[1403]
259,A2RU14,[0],['GO:0005515'],[1403]
260,A2RU30,"[0, 0]","['GO:0005102', 'GO:0043274']","[222, 1921]"
261,A2RU48,[0],['GO:0005515'],[1403]
262,A2RU49,"[0, 0]","['GO:0047992', 'GO:0019202']","[4120, 3376]"
263,A2RU54,"[0, 0, 0]","['GO:0000981', 'GO:1990837', 'GO:0000977']","[483, 2269, 3995]"
264,A2RU67,[0],['GO:0005515'],[1403]
265,A2RUB6,"[0, 0, 0]","['GO:0005515', 'GO:0008017', 'GO:0042803']","[1403, 2451, 127]"
266,A2RUC4,"[0, 0, 0, 0, 0]","['GO:0000049', 'GO:0005506', 'GO:0005515', 'GO:0042803', 'GO:0102524']","[1043, 2271, 1403, 127, 3799]"
267,A2RUH7,"[0, 0]","['GO:0003674', 'GO:0005515']","[4083, 1403]"
268,A2RUQ5,[0],['GO:0005515'],[1403]
269,A2RUR9,[0],['GO:0046904'],[3214]
270,A2RUS2,[0],['GO:0005085'],[4028]
271,A2RUT3,[0],['GO:0005515'],[1403]
272,A2RUU4,[0],['GO:0008047'],[4076]
273,A2VCK2,[0],['GO:0005515'],[1403]
274,A2VDF0,"[0, 0, 0]","['GO:0016857', 'GO:0036373', 'GO:0042806']","[3246, 2076, 2468]"
275,A2VEC9,[0],['GO:0030414'],[4158]
276,A3KFT3,"[0, 0]","['GO:0004930', 'GO:0004984']","[2695, 2935]"
277,A3KMH1,"[0, 0, 0]","['GO:0005515', 'GO:0005524', 'GO:0016887']","[1403, 2220, 3827]"
278,A3KN83,"[0, 0, 0]","['GO:0003674', 'GO:0031490', 'GO:0042393']","[4083, 499, 1752]"
279,A3QJZ6,[0],['GO:1990756'],[2249]
280,A3QJZ7,[0],['GO:1990756'],[2249]
281,A4D0T7,[0],['GO:0005515'],[1403]
282,A4D126,"[0, 0, 0]","['GO:0042803', 'GO:0047349', 'GO:0070567']","[127, 2661, 3187]"
283,A4D161,[0],['GO:0005515'],[1403]
284,A4D1B5,"[0, 0]","['GO:0001540', 'GO:0005515']","[3757, 1403]"
285,A4D1E1,[0],['GO:0046872'],[2153]
286,A4D1E9,"[0, 0, 0, 0, 0]","['GO:0000287', 'GO:0003723', 'GO:0005515', 'GO:0003924', 'GO:0005525']","[3003, 3583, 1403, 3233, 2119]"
287,A4D1P6,"[0, 0, 0]","['GO:0005515', 'GO:0141039', 'GO:0035014']","[1403, 135, 557]"
288,A4D1S0,[0],['GO:0030246'],[1187]
289,A4D1S5,"[0, 0, 0]","['GO:0005515', 'GO:0005525', 'GO:0003924']","[1403, 2119, 3233]"
290,A4D1T9,[0],['GO:0004252'],[712]
291,A4D1U4,[0],['GO:0005085'],[4028]
292,A4D1Z8,[0],['GO:0030246'],[1187]
293,A4D256,"[0, 0, 0]","['GO:0017018', 'GO:0004725', 'GO:0004722']","[3546, 2419, 1978]"
294,A4D263,[0],['GO:0003674'],[4083]
295,A4D2B0,"[0, 0, 0]","['GO:0004521', 'GO:0005515', 'GO:0046872']","[553, 1403, 2153]"
296,A4D2B8,"[0, 0, 0]","['GO:0016301', 'GO:0016887', 'GO:0140664']","[2888, 3827, 4126]"
297,A4D2G3,"[0, 0, 0]","['GO:0004930', 'GO:0004984', 'GO:0005549']","[2695, 2935, 2375]"
298,A4FU69,[0],['GO:0005509'],[3969]
299,A4GXA9,"[0, 0, 1]","['GO:0003677', 'GO:0005515', 'GO:0008821']","[3938, 1403, 906]"
300,A4QMS7,[0],['GO:0005515'],[1403]
301,A4QPH2,[0],['GO:0016301'],[2888]
302,A4UGR9,"[0, 0]","['GO:0051015', 'GO:0051393']","[371, 1883]"
303,A5A3E0,"[0, 0, 0]","['GO:0005515', 'GO:0019901', 'GO:0098973']","[1403, 1899, 2214]"
304,A5D6W6,"[0, 0, 0, 0]","['GO:0003674', 'GO:0010945', 'GO:0017129', 'GO:0019992']","[4083, 1206, 255, 2753]"
305,A5D8T8,"[0, 0]","['GO:0005515', 'GO:0030247']","[1403, 4553]"
306,A5D8V6,"[0, 0]","['GO:0005515', 'GO:0048306']","[1403, 4114]"
307,A5D8V7,[0],['GO:0005515'],[1403]
308,A5LHX3,"[0, 0, 0, 0]","['GO:0004298', 'GO:0005515', 'GO:0008233', 'GO:0004175']","[1601, 1403, 2954, 2904]"
309,A5PKW4,"[0, 0, 0]","['GO:0005085', 'GO:0005515', 'GO:0005543']","[4028, 1403, 2803]"
310,A5PL33,"[0, 0]","['GO:0003674', 'GO:0005515']","[4083, 1403]"
311,A5PLL7,"[0, 0]","['GO:0005515', 'GO:0050207']","[1403, 4224]"
312,A5PLN9,[0],['GO:0005515'],[1403]
313,A5X5Y0,"[0, 0, 0, 0]","['GO:0005515', 'GO:0022850', 'GO:1904315', 'GO:0005231']","[1403, 2669, 3078, 1188]"
314,A5YKK6,"[1, 0, 0, 0, 0, 0, 0, 0]","['GO:0004535', 'GO:0003723', 'GO:0005515', 'GO:0019904', 'GO:0030331', 'GO:0042974', 'GO:0060090', 'GO:0070016']","[300, 3583, 1403, 3149, 3567, 1132, 3587, 776]"
315,A5YM72,"[0, 0, 0, 0, 0]","['GO:0005524', 'GO:0016887', 'GO:0046872', 'GO:0047730', 'GO:0102102']","[2220, 3827, 2153, 1968, 2084]"
316,A6BM72,[0],['GO:0005515'],[1403]
